km,vechime_ani,zile_de_la_ultima_revizie,coolant_temp,oil_temp,oil_pressure,maf,map_kpa,battery_v,vibratii_relanti,defect,defect_type
171400.55043953212,6.256522468578322,206.0635007787318,93.64338829834728,79.3917184907693,1.9442371725981886,7.2045446450676565,51.83757407656418,12.4941195948735,0.8161302325918889,0,none
143431.00081734287,11.554110263137453,106.41940771855947,82.84424522270056,97.95000627265999,2.0643910897098503,8.405520482091635,54.50074089013747,12.43529817275916,0.8935817050182263,0,none
172352.45187085881,2.886014168357153,112.0130408944882,90.19266438618448,98.3018608927679,2.550787351052759,10.426636161392738,50.93584983615384,12.320715044824961,0.833802272288455,0,none
32933.1236471264,6.764727981917886,54.458243772212185,91.90355672694821,100.94603336962754,2.5901039939068182,5.935184468338089,57.3216132306672,12.540840033199254,1.2984098685280558,0,none
47980.26353214829,0.3015993225638761,188.8618506005132,91.78772935503125,83.34275344115467,2.2881150742749443,6.247403753131527,48.61122151756658,12.40370021207066,1.8727235900554782,0,none
126525.7628934556,10.756984232341154,152.3323968001418,91.51733398815567,100.68981263834284,2.6776715323199736,6.4420398844025,50.376482073354325,12.800291558440003,1.1139130538032733,0,none
72608.22372038465,5.915002535074572,157.87868035237437,123.85939414033587,109.12450559232438,1.594566111459299,8.000944630347739,51.90653460279761,12.659871333145094,0.9021333265200069,1,supraincalzire
82789.71126897894,1.4095688865621938,28.321416508923676,82.01651903439111,98.1981938137875,2.0830823306239785,6.394939913536977,67.99228297786065,12.375307610128502,1.531882005810189,0,none
25724.056863002348,12.655913072305015,109.38630956006665,77.63607746084591,98.47538914836686,2.4832074608162973,6.049360070885129,40.539421456115456,12.525245327699855,0.9617282809212888,0,none
191945.14771993732,11.576713370587695,84.37133385891893,105.3375356277402,114.19677190743232,1.927078967513916,8.336177993463325,58.56871059149509,13.012156011926846,0.665056625554717,1,presiune_ulei
110502.00378622199,13.142005078654764,137.2147325702581,75.20772231561214,97.14169169875069,2.1154706166413857,6.335428383712504,48.87903200940192,12.450723189754266,1.6796911038544395,0,none
124117.77086089562,1.698345227669121,161.33762232955482,87.67730469509007,109.14343930863906,2.44559608251551,8.572383217636892,50.00704401460848,12.085269681754042,0.7656974569954327,0,none
183404.79477346884,11.353870314487365,76.11333427745168,93.58943807724546,98.07960772884691,2.3451767358196682,6.934779958183306,48.452123045706095,12.656125270518729,0.9952574338466489,0,none
196710.61224480649,10.5307906685059,213.79019781084597,87.2881700433407,97.28660911682034,2.8571006095973885,7.35101200218217,50.890727691662626,12.88720104852096,1.3929403973077261,0,none
206414.82736476255,3.52539393507845,29.461903778756646,97.0,93.56384629373919,2.2658844376024043,9.338310867587523,43.92954317956512,12.186845543365461,1.48949705761007,0,none
35937.96304851891,0.39232077037318136,55.11744719972526,88.54350944141048,100.15151034621486,1.7,6.922050556911811,46.56769729707129,12.07341542885173,0.8048314348820621,0,none
163881.56084184148,2.008596971490923,29.700912876082704,90.93108512469558,91.12664453333137,2.2853144169733137,8.604412520487367,60.38115437003926,12.96808933760496,1.1304724443375447,0,none
124367.5791002673,8.948856541198975,25.41537690018079,88.54293868976724,96.82582664111123,3.281115913136872,10.002951378050673,46.4675664944118,12.399415823457788,0.5414510991733485,1,none
28465.959304633012,11.646114885381762,191.23610119803882,75.11626582156808,93.69867263564073,2.028154955849153,6.1528969162142815,46.23139221832412,12.467008106011605,0.4090222238895158,0,none
55882.40804447995,10.49499706735956,195.97650322173848,97.0,85.62746696939726,2.271112865124189,7.546488881504815,72.28697644405592,12.154600022550117,1.0896249693260507,0,none
66214.81770265615,2.3198648536504094,27.71761527968519,86.57095753615201,92.86890007992835,2.4812594613691896,6.111476449889574,59.71538522545139,12.85445053623694,1.2699431974508097,0,none
276311.78265537403,14.01007338674835,246.75673738865675,87.41628040951906,126.88521267940914,2.950674215866335,9.491654290481412,47.369427903052326,12.110655984805804,8.210578582548901,1,vibratii
166817.11330962705,8.249403852684548,389.251116771484,89.93083351071765,99.7251623992229,1.641943877584608,7.473590383499359,51.2808541867871,11.885147376132496,4.549874038421546,1,presiune_ulei
120118.47981345067,11.910134745076018,156.6209617344245,92.96792906078235,92.62743237172234,2.423291035550722,5.8841218827195565,64.89583934594853,12.087593731909797,1.5520576540879476,0,none
137091.64421651277,1.5123213255730976,174.17175078514245,92.38464814683186,82.42367795477408,2.3765663894856295,5.124788491848294,49.817201576337254,13.028929951646852,1.4868902149039631,0,none
59477.42107542525,8.343047355944666,22.811807415456293,89.87205682930747,104.24249628885357,2.613066515278554,3.33393678624304,58.0436672903026,12.525211750631403,1.3862506284177118,0,none
205215.7906733719,1.852323521315495,28.10485581602652,96.85569428832105,97.94685290160527,2.6963043950451913,6.086490141565129,63.137636899662105,12.873965044596163,1.3047951090617258,0,none
83301.28382099161,4.5392717268188285,37.82679566999992,90.30036318612098,102.99859397528236,2.0295123713075567,6.799985551488676,69.81455547658973,12.239744119915603,0.8299874922193557,0,none
136879.27569313016,16.136087490089864,286.6093871005229,123.84042182366511,132.95351757742242,3.0000415646714917,6.67174129781433,34.964777079334866,13.061489026531,0.9940352560694284,1,supraincalzire
89656.36833177629,13.81243278321166,194.60721962572285,106.70467706428198,123.97287273016927,2.378866522408099,7.848103528962347,47.95326737130117,12.43713600515899,5.412071350803313,1,supraincalzire
228291.03953643097,11.24826712111682,338.48460274182884,114.4849731609818,118.20935394097506,2.6208691598550216,7.1474026534945745,46.62601776172538,12.291959876730443,0.5337585693457426,1,supraincalzire
157559.33129663346,2.589164280630545,22.013041397807534,84.79659856975867,86.44198070968248,2.1710008531593554,7.684624705111868,53.107556590635944,12.615031700798868,1.3628648342679797,0,none
129273.70139862156,9.856908035329113,155.81595725887414,94.68755466746427,98.06701690545977,2.3541018644288294,7.558041430474072,74.510125601263,13.226943185168814,1.2312215108097504,0,none
96999.19094149025,8.63162814910547,152.3109881803831,89.88344926874532,88.33304955240476,1.8436513773418608,3.683226502413933,43.826158870103924,12.339463650271233,1.068063786008057,0,none
128078.45562125488,8.00765222596051,168.48052346648913,86.29381697175943,96.48260519532306,2.6167098909413875,6.457186425785576,65.63851532734358,12.100321620850158,1.2028525780630208,0,none
195501.33418708894,14.366283483582354,337.55453391520405,87.65930083364385,113.28787226023111,0.6,7.688482174332085,46.48462810814232,12.7329548327097,1.6883791520006595,1,presiune_ulei
134180.6877081924,1.851481270935542,87.58064665878061,84.73902695240419,112.0,2.5522094950122765,6.104684342320817,59.650802095003066,11.953664576451946,1.066204486786064,1,none
49947.396599481915,7.446218580948204,39.30031302199101,83.86976630661545,102.18252326728438,2.970127931668397,5.44776076855774,46.1230434428544,12.967524517712082,1.113895205987223,0,none
22210.59598392978,10.623556384567474,104.10696655742231,97.0,92.10583618044663,2.0706072664262645,6.282297267154633,59.523339506431384,11.95198432473682,1.4868619061930046,0,none
111057.34480789331,1.360791616884972,58.480188973371256,83.04262320181628,96.98132720887155,2.3372706810925856,6.594595889683176,53.40815128619939,12.57118588421698,0.7461587811256014,0,none
186562.9577567451,6.859500618504657,184.470621470251,97.0,94.30324663157992,2.292520873582898,5.794355871428195,44.67737329422163,12.064434874339623,0.8000412090460867,0,none
140628.9316784196,2.649590837630152,81.3253525463052,92.43647603380569,93.72281354062386,2.1714793493673508,7.877484673327679,56.87973587486105,11.993155459204733,1.1694088848070177,0,none
207047.66987365653,16.214993855236564,383.45257132493305,107.88858690563029,92.97986132557628,1.6610022667467816,3.1441248547202,43.436523397346676,12.397177377946754,3.6002996463861017,1,mixt
162757.00194915198,10.549772823506707,83.15828671513171,78.0894451109244,84.75144634523335,2.2517376877387063,6.167058539431342,63.126012877536446,12.584580901937294,0.40126707316104226,0,none
23236.143547043892,7.865371599901143,192.4943488765738,91.24678966482719,101.1034118586955,2.556834777377671,4.303044292184307,60.38034439928251,12.13799218191396,1.3058742502147185,0,none
227709.24326720933,11.469823396476766,400.0,101.84141633901176,90.08818558885682,2.9079125971573725,6.294956125488412,60.06688168140309,11.256738777857292,4.396950956849997,1,baterie_slaba
